alias,category,unit_type,role,ref_field,variant_count,variants,nations,service_from,service_to,loadouts,displacement_t,length_m,beam_m,max_speed_kt,telegraph_kt,armor
iaf_md500,aircraft,Helicopter,"Attack,SAR",SquadronReference,4,"Default,Squadron1-3",Israel|US,1967,1967,AntiArmor,,,,,,
iqaf_md500,aircraft,Helicopter,"Attack,SAR",SquadronReference,5,"Default,Squadron1-4",Iraq|US,1967,1967,"CAS,AntiArmor,Recon",,,,,,
iriaf_ah-1j,aircraft,Helicopter,ASuW,SquadronReference,4,"Default,Squadron1-3",Iran,1971,1971,"CAS,AntiArmor",,,,,,
iriaf_f-14a,aircraft,Aircraft,Fighter,SquadronReference,4,"Default,Squadron1-3",Iran,1976,1976,"AirToAirLongRange,AirToAir,AirToAirIntercept",,,,,,
iriaf_f-4d,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,3,"Default,Squadron1,Squadron2",Iran,1968,1968,"AirToAir,AirToAirLongRange,CAS,Strike,SEAD,StrikePrecision",,,,,,
iriaf_f-4e,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,12,"Default,Squadron1-11",Iran,1971,1971,"AirToAir,AirToAirLongRange,Strike,StrikePrecision,CAS,AntiArmor,SEAD,SEADAdvanced",,,,,,
irina_sh-3d,aircraft,Helicopter,"ASW,MPA,SAR",SquadronReference,4,"Default,Squadron1-3",Iran,1970,1970,"ASW,ASWKiller,ASWHunter,ASWHunterLight",,,,,,
jasdf_f-1,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,4,"Default,Squadron1-3",Japan,1977,1977,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,StrikeHeavy,AntiShip,CAS",,,,,,
jasdf_f-4ej,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,7,"Default,Squadron1-6",Japan,1972,1972,"AirToAir,AirToAirLongRange",,,,,,
jasdf_t-2,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,7,"Default,Squadron1-6",Japan,1975,1975,"AirToAir,CAS",,,,,,
jmsdf_hss-2,aircraft,Helicopter,"ASW,SAR",SquadronReference,2,"Default,Squadron1",Japan,1964,1964,"ASW,ASWKiller,ASWHunter,ASWHunterLight",,,,,,
jmsdf_ps-1,aircraft,Aircraft,"MPA,ASW",SquadronReference,2,"Default,Squadron1",Japan,1971,1971,"ASW,ASWHunter",,,,,,
jmsdf_us-1,aircraft,Aircraft,MPA,SquadronReference,2,"Default,Squadron1",Japan,1975,1975,,,,,,,
pla_f-5,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,5,"Default,Squadron1-4",China|North_Korea|Pakistan,1957,1957,"AirToAir,Strike,StrikeLongRange,CAS,Gun",,11.1,,,,
pla_h-6a,aircraft,Aircraft,HeavyBomber,SquadronReference,7,"Default,Squadron1-6",China,1968,1968,"StrikeHeavy,Strike,StrikeLongRange",,34.8,,,,
pla_h-6d,aircraft,Aircraft,HeavyBomber,SquadronReference,7,"Default,Squadron1-6",China,1980,1980,"AntiShip,Strike,StrikeLongRange",,34.8,,,,
pla_j-5,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,2,"Default,Squadron1",China,1957,1957,"AirToAir,Strike,StrikeLongRange,CAS,Gun",,11.1,,,,
pla_j-7c,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,4,"Default,Squadron1-3",China|North_Korea,1989,1989,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,CAS,AntiArmor,Recon,Gun",,14.1,,,,
pla_q-5,aircraft,Aircraft,"Recon,Bomber",SquadronReference,11,"Default,Squadron1-10",China|Pakistan|Cuba,1970,1970,"CAS,Strike,StrikeLongRange",,15.65,,,,
pla_q-5a,aircraft,Aircraft,"Recon,Bomber",SquadronReference,9,"Default,Squadron1-8",China,1983,1983,"CAS,Strike,StrikeLongRange",,15.65,,,,
pla_z-8,aircraft,Helicopter,"ASW,Attack",SquadronReference,9,"Default,Squadron1-8",China|North_Korea,1985,1985,"AntiShip,ASWKiller",,,,,,
plan_sh-5,aircraft,Aircraft,"MPA,ASW",SquadronReference,2,"Default,Squadron1",China,1986,1986,"Empty,AntiShip,ASW,Strike",,,,,,
raaf_f-111c,aircraft,Aircraft,"Bomber,SEAD",SquadronReference,3,"Default,Squadron1,Squadron2",Australia,1973,1979,"Strike,StrikePrecision,StrikeHeavy,AntiShip,AntiShipLongRange,AntiShipHeavy,AntiShipPrecision",,24.6,,,,
ran_a-4g,aircraft,Aircraft,Bomber,SquadronReference,3,"Default,Squadron1,Squadron2",US|Australia|NewZealand,1959,1959,"AirToAir,Strike,StrikeLongRange,StrikeHeavy,AntiShip,AntiShipLongRange,CAS",,,,,,
usaf_b-52d,aircraft,Aircraft,HeavyBomber,SquadronReference,3,"Default,Squadron1,Squadron2",US,1956,1956,"Empty,StrikeHeavy,StrikeLongRange",,,,,,
usaf_b-52g,aircraft,Aircraft,HeavyBomber,SquadronReference,5,"Default,Squadron1-4",US,1958,1958,"StrikeHeavy,AntiShipHeavy,LandAttack",,,,,,
usaf_c-141b,aircraft,Aircraft,Transport,SquadronReference,3,"Default,Squadron1,Squadron2",US,1965,1965,Transport,,,,,,
usaf_e-3a,aircraft,Aircraft,AEW,SquadronReference,3,"Default,Squadron1,Squadron2",US,1977,1977,AEW,,,,,,
usaf_f-15a,aircraft,Aircraft,Fighter,SquadronReference,8,"Default,Squadron1-7",US,1972,1972,"AirToAir,AirToAirLongRange",,,,,,
usaf_f-15c,aircraft,Aircraft,Fighter,SquadronReference,13,"Default,Squadron1-12",US,1979,1979,"AirToAir,AirToAirLongRange",,,,,,
usaf_f-4d,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,10,"Default,Squadron1-9",US,1966,1966,"AirToAir,AirToAirLongRange,CAS,Strike,SEAD,StrikePrecision",,,,,,
usaf_f-4e,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,13,"Default,Squadron1-12",US,1967,1967,"AirToAir,AirToAirLongRange,Strike,StrikeLowAlt,StrikePrecision,StrikeDemo,CAS,AntiArmor,SEAD",,,,,,
usaf_f-5a,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,25,"Default,Squadron1-24",US|Greece|Netherlands|Norway|Philippines|South_Vietnam|Spain|Turkey,1962,1962,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,StrikePrecision,CAS",,,,,,
usaf_f-5e,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,61,"Default,Squadron1-60",US|Iran|Brazil|Chile|Indonesia|Jordan|Malaysia|Mexico|Morocco|RoC|Saudi|South_Korea|Switzerland|Sudan|Thailand|Tunisia|Vietnam,1972,1972,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,CAS",,,,,,
usaf_hh-3,aircraft,Helicopter,Transport,SquadronReference,3,"Default,Squadron1,Squadron2",US,1966,1966,Transport,,,,,,
usaf_kc-135a,aircraft,Aircraft,EW,SquadronReference,9,"Default,Squadron1-8",US|UK|Germany|Japan|South_Korea|Australia,1958,1958,,,,,,,
usaf_vc-137c,aircraft,Aircraft,Airliner,SquadronReference,2,"Default,Squadron1",US,1972,1972,,,,,,,
usmc_ah-1t,aircraft,Helicopter,Attack,SquadronReference,9,"Default,Squadron1-8",US,1977,1977,"CAS,AntiArmor,AirToAir,SEADAdvanced",,,,,,
usmc_av-8a,aircraft,VTOL,"Fighter,Bomber",SquadronReference,6,"Default,Squadron1-5",US,1971,1971,"AirToAir,AntiShip,Strike,StrikeHeavy,SEAD,SEADAdvanced,CAS",,,,,,
usn_a-3b,aircraft,Aircraft,Bomber,SquadronReference,6,"Default,Squadron1-5",US,1956,1956,Strike,,,,,,
usn_a-6e,aircraft,Aircraft,Bomber,SquadronReference,12,"Default,Squadron1-11",US,1979,1979,"Strike,StrikeLongRange,StrikePrecision,AntiShip,AntiShipLongRange,AntiShipHeavy,AntiShipPrecision,SEAD,SEADLongRange,SEADAdvanced,Tanker",,,,,,
usn_a-7e,aircraft,Aircraft,"Bomber,SEAD",SquadronReference,24,"Default,Squadron1-23",US,1969,1969,"Strike,StrikeLongRange,StrikePrecision,SEAD,SEADLongRange,SEADAdvanced,CAS",,,,,,
usn_ch-46,aircraft,Helicopter,"Transport,SAR",SquadronReference,11,"Default,Squadron1-10",US,1964,1964,Transport,,,,,,
usn_e-2c,aircraft,Aircraft,"AEW,ESM",SquadronReference,11,"Default,Squadron1-10",US,1973,1973,AEW,,,,,,
usn_ea-6b,aircraft,Aircraft,"EW,ESM,SEAD",SquadronReference,11,"Default,Squadron1-10",US,1976,1976,"EW,SEADAdvanced,Empty",,,,,,
usn_eka-3b,aircraft,Aircraft,"EW,ESM",SquadronReference,3,"Default,Squadron1,Squadron2",US,1967,1967,Empty,,,,,,
usn_f-14a,aircraft,Aircraft,Fighter,SquadronReference,22,"Default,Squadron1-21",US,1975,1975,"AirToAirLongRange,AirToAir,AirToAirIntercept",,,,,,
usn_f-4j,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,21,"Default,Squadron1-20",US,1966,1966,"AirToAir,AirToAirLongRange,AirToAirIntercept,Strike,StrikeLongRange,CAS,SEAD",,,,,,
usn_fa-18a,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,21,"Default,Squadron1-10,Squadron13-22",US|Australia|Canada|Spain,1984,1984,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,StrikeLowAlt,StrikeHeavy,StrikePrecision,AntiShip,AntiShipHeavy,SEAD,SEADLongRange,CAS",,,,,,
usn_ka-3b,aircraft,Aircraft,"EW,ESM",SquadronReference,3,"Default,Squadron1,Squadron2",US,1956,1956,Empty,,,,,,
usn_p-2h,aircraft,Aircraft,"MPA,ASW,AEW",SquadronReference,14,"Default,Squadron1-13",US|Japan|France|Canada|Portugal|Australia|Netherlands,1954,1954,"ASW,Strike,StrikeHeavy,Recon",,,,,,
usn_p-3c,aircraft,Aircraft,"MPA,ASW,Bomber,ESM",SquadronReference,35,"Default,Squadron1-34",US|Japan|Norway|Australia|NewZealand,1977,1977,"Empty,Ferry,ASW,Strike,AntiShip,AntiShipHeavy,Recon",,,,,,
usn_qh-50c,aircraft,Helicopter,"ASW,MPA",SquadronReference,2,"Default,Squadron1",US,1962,1962,"ASW,ASWKiller",,,,,,
usn_qh-50d,aircraft,Helicopter,ASW,SquadronReference,3,"Default,Squadron1,Squadron2",US|Japan,1966,1966,"ASW,ASWKiller",,,,,,
usn_ra-3b,aircraft,Aircraft,Recon,SquadronReference,3,"Default,Squadron1,Squadron2",US,1956,1956,Recon,,,,,,
usn_ra-5c,aircraft,Aircraft,"Recon,ESM",SquadronReference,11,"Default,Squadron1-10",US,1962,1962,Recon,,,,,,
usn_s-3a,aircraft,Aircraft,"MPA,ASW,ESM",SquadronReference,11,"Default,Squadron1-10",US,1974,1974,"ASW,ASWBomb,Strike,StrikeHeavy,StrikeLongRange,AntiShip,CAS",,,,,,
usn_sh-2f,aircraft,Helicopter,"ASW,MPA,SAR",SquadronReference,12,"Default,Squadron1-11",US,1973,1973,"ASW,ASWKiller,ASWHunter,ASWHunterLight,ASWLongRange,ASWBomb,Transport",,,,,,
usn_sh-3h,aircraft,Helicopter,"ASW,SAR",SquadronReference,3,"Default,Squadron1,Squadron2",US|Iran,1975,1975,"ASW,ASWKiller,ASWHunter,ASWHunterLight,ASWBomb",,,,,,
usn_v-19a,aircraft,VTOL,"ASW,Bomber",SquadronReference,4,"Default,Squadron1-3",US,1980,1980,"ASW,ASWLongRange,ASWHunter,ASWKiller,ASWBomb,Strike,CAS,Ferry",,,,,,
wp_il-38,aircraft,Aircraft,"MPA,ASW",SquadronReference,4,"Default,Squadron1-3",Soviet,1969,1969,"ASW,ASWBomb",,40,,,,
wp_ka-25,aircraft,Helicopter,"ASW,MPA,SAR",SquadronReference,5,"Default,Squadron1-4",Soviet,1967,1967,"ASWHunter,ASWHunterLight,ASWKiller,ASWBomb,Strike,CAS",,9.75,,,,
wp_ka-25ts,aircraft,Helicopter,"Targeting,MPA,SAR",SquadronReference,5,"Default,Squadron1-4",Soviet,1971,1971,AEW,,9.75,,,,
wp_ka-27,aircraft,Helicopter,"ASW,MPA,SAR",SquadronReference,9,"Default,Squadron1-8",Soviet,1977,1977,"ASW,ASWKiller,ASWHunterLight,ASWBomb,Strike,CAS,AntiArmor",,12.25,,,,
wp_ka-29,aircraft,Helicopter,"Attack,Transport,SAR",SquadronReference,4,"Default,Squadron1-3",Soviet,1985,1985,"Strike,CAS,AntiArmor",,12.25,,,,
wp_lim-6,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,5,"Default,Squadron1-4",Poland|DDR,1963,1963,"AirToAir,Strike,StrikeHeavy,StrikeLongRange,CAS",,11.1,,,,
wp_mi-14,aircraft,Helicopter,"ASW,MPA",SquadronReference,7,"Default,Squadron1-6",Soviet|DDR|Poland,1973,1973,"ASW,ASWKiller,ASWHunter,ASWHunterLight,ASWBomb,Strike,StrikeLongRange,CAS",,25.2,,,,
wp_mig-17,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,16,"Default,Squadron1-15",Soviet|Vietnam|Egypt|Syria|Algeria|Cuba,1951,1951,"AirToAir,Strike,StrikeLongRange,CAS,Gun",,11.1,,,,
wp_mig-21,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,53,"Default,Squadron1-52",Soviet|DDR|Poland|Vietnam|Egypt|Syria|Cuba|South_Yemen,1970,1970,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,CAS,AntiArmor,Recon,Gun",,14.1,,,,
wp_mig-23a,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,7,"Default,Squadron1-6",Soviet,1983,1983,"AirToAir,AirToAirLongRange,AirToAirIntercept,Strike,StrikeLongRange,StrikePrecision,CAS,AntiArmor,Recon,Gun",,16.7,,,,
wp_mig-23mld,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,23,"Default,Squadron1-22",Soviet|DDR|Cuba,1982,1982,"AirToAir,AirToAirLongRange,AirToAirIntercept,Strike,StrikeLongRange,StrikePrecision,CAS,AntiArmor,Gun",,16.7,,,,
wp_mig-23ms,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,10,"Default,Squadron1-9",Soviet|Iraq|Libya|Syria,1973,1973,"AirToAir,Strike,StrikeLongRange,CAS,AntiArmor,Gun",,16.7,,,,
wp_mig-25bm,aircraft,Aircraft,Fighter,SquadronReference,4,"Default,Squadron1-3",Soviet,1977,1977,SEAD,,23.3,,,,
wp_mig-25p,aircraft,Aircraft,Fighter,SquadronReference,6,"Default,Squadron1-5",Soviet|Iraq|Libya,1970,1970,AirToAirIntercept,,23.3,,,,
wp_mig-25pd,aircraft,Aircraft,Fighter,SquadronReference,7,"Default,Squadron1-6",Soviet,1978,1978,"AirToAirIntercept,AirToAirLongRange",,23.3,,,,
wp_mig-25pu,aircraft,Aircraft,Fighter,SquadronReference,2,"Default,Squadron1",Soviet,1970,1970,AirToAir,,23.3,,,,
wp_mig-25rb,aircraft,Aircraft,"Recon,Bomber,ESM",SquadronReference,7,"Default,Squadron1-6",Soviet|Iraq|Libya,1970,1970,"Recon,Strike,StrikeLongRange",,23.3,,,,
wp_mig-27,aircraft,Aircraft,Bomber,SquadronReference,9,"Default,Squadron1-8",Soviet,1972,1972,"StrikePrecision,Strike,StrikeLongRange,SEAD,SEADLongRange,CAS,AntiArmor,AntiShip,Gun",,17.1,,,,
wp_mig-28,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,3,"Default,Squadron1,Squadron2",Soviet|Cuba,1986,1986,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange,StrikePrecision,SEAD,CAS,AntiArmor,Gun",,14.7,,,,
wp_p-42,aircraft,Aircraft,"MPA,ASW,ESM",SquadronReference,4,"Default,Squadron1-3",Soviet,1983,1983,ASW,,20,,,,
wp_p-42_rldn,aircraft,Aircraft,"AEW,ESM",SquadronReference,4,"Default,Squadron1-3",Soviet,1983,1983,AEW,,20,,,,
wp_su-15,aircraft,Aircraft,Fighter,SquadronReference,18,"Default,Squadron1-17",Soviet,1965,1965,"AirToAirIntercept,AirToAirLongRange,AirToAir,Gun",,22,,,,
wp_su-24a,aircraft,Aircraft,"Bomber,SEAD",SquadronReference,5,"Default,Squadron1-4",Soviet,1972,1972,"Strike,StrikeLongRange,StrikePrecision,StrikeHeavy,CAS,AntiArmor,AntiShip,AntiShipLongRange,SEAD,Recon,Gun",,24.6,,,,
wp_su-24m,aircraft,Aircraft,"Bomber,SEAD",SquadronReference,4,"Default,Squadron1-3",Soviet,1979,1979,"Strike,StrikeLongRange,StrikePrecision,StrikeHeavy,StrikeDemo,CAS,AntiArmor,AntiShip,AntiShipLongRange,AntiShipPrecision,SEAD,SEADLongRange,Recon,Gun",,24.6,,,,
wp_taifun,aircraft,Aircraft,"Bomber,SEAD",SquadronReference,4,"Default,Squadron1-3",Soviet,1983,1983,"AntiShipPrecision,Strike,StrikeLongRange,StrikePrecision,SEAD,SEADLongRange,CAS,Recon,Gun,Tanker",,15.7,,,,
wp_taifun_ew,aircraft,Aircraft,"EW,ESM,SEAD",SquadronReference,4,"Default,Squadron1-3",Soviet,1983,1983,"SEADLongRange,SEAD,EW",,15.7,,,,
wp_tu-142m,aircraft,Aircraft,"MPA,ASW",SquadronReference,5,"Default,Squadron1-4",Soviet,1975,1975,ASW,,51.5,,,,
wp_tu-16,aircraft,Aircraft,HeavyBomber,SquadronReference,7,"Default,Squadron1-6",Soviet|Egypt|Iraq,1954,1954,"StrikeHeavy,Strike,StrikeLongRange,StrikeDemolition",,34.8,,,,
wp_tu-16k,aircraft,Aircraft,HeavyBomber,SquadronReference,13,"Default,Squadron1-12",Soviet,1959,1959,"Strike,StrikeLongRange,StrikeHeavy,SEAD",,34.8,,,,
wp_tu-16n,aircraft,Aircraft,EW,SquadronReference,13,"Default,Squadron1-12",Soviet,1959,1959,"Strike,StrikeLongRange,StrikeHeavy,SEAD",,34.8,,,,
wp_tu-16p,aircraft,Aircraft,"EW,ESM",SquadronReference,7,"Default,Squadron1-6",Soviet,1959,1959,EW,,34.8,,,,
wp_tu-22m2,aircraft,Aircraft,HeavyBomber,SquadronReference,15,"Default,Squadron1-14",Soviet,1976,1976,"AntiShip,AntiShipLongRange,AntiShipHeavy,StrikeLongRange,StrikeHeavy",,41.5,,,,
wp_tu-95rt,aircraft,Aircraft,"MPA,ESM",SquadronReference,5,"Default,Squadron1-4",Soviet,1963,1963,,,46.9,,,,
wp_yak-38,aircraft,VTOL,Bomber,SquadronReference,5,"Default,Squadron1-4",Soviet,1976,1976,"AirToAir,AirToAirLongRange,AirToAirIntercept,Strike,StrikeHeavy,StrikeLongRange,StrikePrecision,CAS,AntiArmor,AntiShip",,16,,,,
bio_blue_whale,biologic,Biologic,AAW,VariantReference,1,Default,Unknown,,,,150,25,4,20,"-3,0,5,8,12,15,20",None
bio_fin_whale,biologic,Biologic,AAW,VariantReference,1,Default,Unknown,,,,150,25,4,20,"-3,0,5,8,12,15,20",None
bio_humpback_whale,biologic,Biologic,AAW,VariantReference,1,Default,Unknown,,,,150,25,4,20,"-2,0,5,8,10,12,14",None
airfield_small_1,land_units,LandUnit,Airfield,VariantReference,6,"Default,Variant1-5",US|Vietnam|China|Japan,,,,,,,,,None
civ_car_pickup_1983_type63,land_units,LandUnit,"AAW,Gun",VariantReference,10,"Default,Variant1-9",Terrorists|Syria|Iraq|Iran|Egypt|Pakistan|South_Yemen|North_Korea|Cuba,,,,,4.9,1.7,81,,None
civ_car_pickup_1983_ub-16,land_units,LandUnit,Gun,VariantReference,10,"Default,Variant1-9",Terrorists|Syria|Iraq|Iran|Egypt|Pakistan|South_Yemen|North_Korea|Cuba,,,,,4.9,1.7,81,,None
civ_car_pickup_1983_zu-23,land_units,LandUnit,"AAW,Gun",VariantReference,10,"Default,Variant1-9",Terrorists|Syria|Iraq|Iran|Egypt|Pakistan|South_Yemen|North_Korea|Cuba,,,,,4.9,1.7,81,,None
civ_comm_buildings,land_units,LandUnit,"Radar,ESM",VariantReference,1,Default,US,,,,,,,,,None
civ_radiostation,land_units,LandUnit,"Radar,ESM",VariantReference,1,Default,US,,,,,,,,,None
civ_spar_rig,land_units,LandUnit,Target,VariantReference,1,Default,US,,,,,,,,,None
civ_tgt_bridge_3_part,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Unknown,,,,,,,,,Minor
civ_tgt_bridge_6_part,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Unknown,,,,,,,,,Minor
civ_tgt_bridge_arches_6_part,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Unknown,,,,,,,,,Minor
fin_100_56_TK,land_units,LandUnit,"ASuW,Gun",VariantReference,2,"Default,Variant1",Finland,,,,,,,,,Moderate
iqa_mbt_t-55_70,land_units,LandUnit,Gun,VariantReference,3,"Default,Variant1,Variant2",Iraq,,,,,6.2,3.27,27,,Moderate
is_airbase_akureyri,land_units,LandUnit,Airfield,VariantReference,3,"Default,Variant1,Variant2",Iceland|UK,,,,,,,,,None
is_airbase_isafjordur,land_units,LandUnit,Airfield,VariantReference,2,"Default,Variant1",Iceland,,,,,,,,,None
is_airbase_keflavik,land_units,LandUnit,Airfield,VariantReference,2,"Default,Variant1",Iceland,,,,,,,,,None
is_airbase_reykjavik,land_units,LandUnit,Airfield,VariantReference,3,"Default,Variant1,Variant2",Iceland|UK,,,,,,,,,None
jsdf_apc_type60,land_units,LandUnit,Gun,VariantReference,3,"Default,Variant1,Variant2",Japan,,,,,4.9,2.4,24.2,,Minor
jsdf_apc_type73,land_units,LandUnit,Gun,VariantReference,2,"Default,Variant1",Japan,,,,,5.6,2.8,32.4,,Minor
jsdf_mbt_type74,land_units,LandUnit,Gun,VariantReference,3,"Default,Variant1,Variant2",Japan,,,,,9.4,3.2,28.6,,Moderate
jsdf_sam_type81,land_units,LandUnit,"AAW,SAM",VariantReference,2,"Default,Variant1",Japan,,,,,7.15,2.49,48.5,,None
nato_aaa_gdf,land_units,LandUnit,"AAW,Gun",VariantReference,9,"Default,Variant1-8",Switzerland|UK|Spain|Italy|Belgium|Denmark|Germany|Japan,,,,,3.15,1.2,,,None
nato_ewr_station,land_units,LandUnit,Target,VariantReference,9,"Default,Variant1-8",US|UK|France|Spain|Greece|Canada|Australia|Germany,,,,,,,,,Minor
nato_fps-20_radar,land_units,LandUnit,Radar,VariantReference,3,"Default,Variant1,Variant2",US|Philippines,,,,,,,,,Minor
nato_fps-6_radar,land_units,LandUnit,Radar,VariantReference,3,"Default,Variant1,Variant2",US|Philippines,,,,,,,,,Minor
nato_large_ewr_station,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",US|UK,,,,,,,,,Minor
nato_radar,land_units,LandUnit,Radar,VariantReference,8,"Default,Variant1-7",US|UK|Spain|Italy|Belgium|Denmark|Germany,,,,,,,,,Minor
nato_sam_skyguard,land_units,LandUnit,"AAW,SAM",VariantReference,7,"Default,Variant1-6",Switzerland|Egypt|Greece|Spain|Italy|RoC|Thailand,,,,,3.15,1.2,,,None
nato_small_airbase,land_units,LandUnit,Airfield,VariantReference,2,"Default,Variant1",US,,,,,,,,,None
nato_tps-27_radar,land_units,LandUnit,Radar,VariantReference,8,"Default,Variant1-7",US|UK|Spain|Italy|Belgium|Denmark|Germany,,,,,,,,,Minor
nato_very_small_airbase,land_units,LandUnit,Airfield,VariantReference,2,"Default,Variant1",US,,,,,,,,,None
nv_130mm_coastal_artillery,land_units,LandUnit,"ASuW,Gun",VariantReference,2,"Default,Variant1",Vietnam,,,,,,,,,Minor
nv_bofors,land_units,LandUnit,"AAW,Gun",VariantReference,2,"Default,Variant1",Vietnam,,,,,,,,,None
nv_coastal_artillery,land_units,LandUnit,"ASuW,Gun",VariantReference,2,"Default,Variant1",Vietnam,,,,,,,,,None
nv_headquarters,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Vietnam,,,,,352.1,,,,Minor
nv_ks-19,land_units,LandUnit,"ASuW,Gun",VariantReference,3,"Default,Variant1,Variant2",Vietnam|Soviet,,,,,,,,,None
nv_mlrs_grad_emplacement,land_units,LandUnit,Gun,VariantReference,2,"Default,Variant1",Vietnam,,,,,,,,,None
nv_pt_boats_docks,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Vietnam,,,,,,,,,Moderate
nv_pt_boats_docks_small,land_units,LandUnit,Target,VariantReference,2,"Default,Variant1",Vietnam,,,,,352.1,,,,Minor
