alias,category,weapon_system,system_name,weapon_type,magazine,ammo_slot,ammo,count
wp_taifun,aircraft,WeaponSystem3,NN-37,CIWS,WeaponMagazine_N-37,Ammunition1,wp_cal_37mm,80
wp_taifun,aircraft,WeaponSystem4,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_taifun_ew,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_tu-142m,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
wp_tu-142m,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-16,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
wp_tu-16,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-16k,aircraft,WeaponSystem2,AM-23,CIWS,WeaponMagazine1AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16k,aircraft,WeaponSystem3,AM-23,CIWS,WeaponMagazine2AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16k,aircraft,WeaponSystem4,AM-23,CIWS,WeaponMagazine3AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16k,aircraft,WeaponSystem5,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-16n,aircraft,WeaponSystem2,AM-23,CIWS,WeaponMagazine1AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16n,aircraft,WeaponSystem3,AM-23,CIWS,WeaponMagazine2AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16n,aircraft,WeaponSystem4,AM-23,CIWS,WeaponMagazine3AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-16n,aircraft,WeaponSystem5,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-16p,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-22m2,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
wp_tu-22m2,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_tu-95rt,aircraft,WeaponSystem2,AM-23,CIWS,WeaponMagazine1AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-95rt,aircraft,WeaponSystem3,AM-23,CIWS,WeaponMagazine2AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-95rt,aircraft,WeaponSystem4,AM-23,CIWS,WeaponMagazine3AM-23,Ammunition1,wp_cal_23mm,400
wp_tu-95rt,aircraft,WeaponSystem5,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_yak-38,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
civ_car_pickup_1983_type63,land_units,WeaponSystem1,Type63_MLRS,Missile,WeaponMagazine107mm,Ammunition1,ir_107mm_rocket,36
civ_car_pickup_1983_ub-16,land_units,WeaponSystem1,UB-16-57_KV_TWIN_MLRS,Missile,WeaponMagazine,Ammunition1,wp_s-5,32
civ_car_pickup_1983_zu-23,land_units,WeaponSystem1,23mm_ZU-23,CIWS,WeaponMagazine,Ammunition1,wp_cal_23mm,2000
fin_100_56_TK,land_units,WeaponSystem1,100mm_D-10,Gun,WeaponMagazine,Ammunition1,wp_cal_100mm_d10,200
iqa_mbt_t-55_70,land_units,WeaponSystem1,100mm_D-10,Gun,WeaponMagazineGun,Ammunition1,wp_cal_100mm_d10,43
iqa_mbt_t-55_70,land_units,WeaponSystem2,12.7mm_DSHK,CIWS,WeaponMagazineCIWS,Ammunition1,wp_cal_05in,2000
jsdf_apc_type60,land_units,WeaponSystem1,M2HB,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_05in,2000
jsdf_apc_type73,land_units,WeaponSystem1,M2HB,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_05in,2000
jsdf_mbt_type74,land_units,WeaponSystem1,L7,Gun,WeaponMagazineGun,Ammunition1,usn_cal_105mm,54
jsdf_sam_type81,land_units,WeaponSystem1,TanSAM1,Missile,WeaponMagazineMissile,Ammunition1,jsdf_sam1,12
nato_aaa_gdf,land_units,WeaponSystem1,Oerlikon_35mm_GDF,Gun,WeaponMagazine,Ammunition1,usn_cal_35mm,560
nato_sam_skyguard,land_units,WeaponSystem1,Skyguard_Sparrow,Missile,WeaponMagazine,Ammunition1,it_aspide_1,8
nv_130mm_coastal_artillery,land_units,WeaponSystem1,130mm_B-13,Gun,WeaponMagazine,Ammunition1,wp_cal_130mm,200
nv_bofors,land_units,WeaponSystem1,Bofors_L60,Gun,WeaponMagazine,Ammunition1,nv_cal_40mm,600
nv_coastal_artillery,land_units,WeaponSystem1,QF45,Gun,WeaponMagazine,Ammunition1,rn_cal_114mm,200
nv_ks-19,land_units,WeaponSystem1,KS-19_100mm,Gun,WeaponMagazine,Ammunition1,nv_cal_100mm,300
nv_mlrs_grad_emplacement,land_units,WeaponSystem1,GRAD-40,Missile,WeaponMagazineLauncher,Ammunition1,wp_grad,120
nv_s-60,land_units,WeaponSystem1,AZP_S-60,Gun,WeaponMagazine,Ammunition1,nv_cal_57mm,600
nv_zu-23,land_units,WeaponSystem1,23mm_ZU-23,CIWS,WeaponMagazine,Ammunition1,wp_cal_23mm,2000
pla_aaa_type55,land_units,WeaponSystem1,37mm_61K,Gun,WeaponMagazine,Ammunition1,wp_cal_37mm,600
pla_aaa_type65,land_units,WeaponSystem1,37mm_Type61,Gun,WeaponMagazine_37mm,Ammunition1,wp_cal_37mm,1200
pla_apc_type63,land_units,WeaponSystem1,12.7mm_DSHK,CIWS,WeaponMagazineCIWS,Ammunition1,wp_cal_05in,2000
pla_hy-1_launcher,land_units,WeaponSystem1,SS-N-2,Missile,WeaponMagazineMissile,Ammunition1,plan_hy-1,4
pla_hy-2_launcher,land_units,WeaponSystem1,SS-N-2,Missile,WeaponMagazineMissile,Ammunition1,plan_hy-2,4
pla_hy-3_launcher,land_units,WeaponSystem1,HY-3,Missile,WeaponMagazineMissile,Ammunition1,pla_hy-3,2
pla_hy-4_launcher,land_units,WeaponSystem1,SS-N-2,Missile,WeaponMagazineMissile,Ammunition1,plan_hy-4,4
pla_lt_type_63,land_units,WeaponSystem1,85mm_Type62,Gun,WeaponMagazineGun,Ammunition1,plan_cal_85mm_lt,47
pla_lt_type_63,land_units,WeaponSystem2,12.7mm_DSHK,CIWS,WeaponMagazineCIWS,Ammunition1,wp_cal_05in,2000
pla_spaag_type63,land_units,WeaponSystem1,37mm_Type61,Gun,WeaponMagazine_37mm,Ammunition1,wp_cal_37mm,500
raf_rapier_launcher,land_units,WeaponSystem1,Rapier,Missile,WeaponMagazineMissile,Ammunition1,raf_rapier,16
swe_ersta,land_units,WeaponSystem1,ERSTA,Gun,WeaponMagazine,Ammunition1,usn_cal_127mm,800
usa_aaa_m42,land_units,WeaponSystem1,M2A1,Gun,WeaponMagazine_40mm,Ammunition1,usn_cal_40mm,336
usa_aaa_m51,land_units,WeaponSystem1,M35,Gun,WeaponMagazine,Ammunition1,usn_cal_75mm,640
usa_aaa_vulcan,land_units,WeaponSystem1,M168,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_20mm,1030
usa_apc_aav7,land_units,WeaponSystem1,M2HB,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_05in,1100
usa_apc_m113,land_units,WeaponSystem1,M2HB,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_05in,2000
usa_car_hmmwv_m2,land_units,WeaponSystem1,M2HB,CIWS,WeaponMagazineCIWS,Ammunition1,usn_cal_05in,900
usa_car_hmmwv_tow,land_units,WeaponSystem1,TOW,Missile,WeaponMagazineTOW,Ammunition1,usa_bgm-71c,7
usa_ifv_bradley,land_units,WeaponSystem1,TOW_M2,Missile,WeaponMagazineTOW,Ammunition1,usa_bgm-71c,7
usa_ifv_bradley,land_units,WeaponSystem2,M242,CIWS,WeaponMagazineGun,Ammunition1,wp_cal_25mm,900
usa_mbt_abrams,land_units,WeaponSystem1,M68A1,Gun,WeaponMagazineGun,Ammunition1,usn_cal_105mm,54
usa_mbt_m60,land_units,WeaponSystem1,M68A1,Gun,WeaponMagazineGun,Ammunition1,usn_cal_105mm,54
usa_mim-23_launcher,land_units,WeaponSystem1,M-192,Missile,WeaponMagazineMissile,Ammunition1,usa_mim-23,9
usa_mlrs_m270,land_units,WeaponSystem1,MLRS,Missile,WeaponMagazineLauncher,Ammunition1,usa_m26,36
usa_sam_site_nike_hercules,land_units,WeaponSystem1+WeaponSystem2+WeaponSystem3+WeaponSystem4+WeaponSystem5+WeaponSystem6+WeaponSystem7+WeaponSystem8+WeaponSystem9+WeaponSystem10+WeaponSystem11+WeaponSystem12,Nike_Hercules,Missile,WeaponMagazineMissile,Ammunition1,usa_mim-14,36
usa_sam_site_nike_hercules,land_units,WeaponSystem13+WeaponSystem14,M35,Gun,WeaponMagazineGDF,Ammunition1,usn_cal_75mm,2000
usa_spa_m109a2,land_units,WeaponSystem1,M185,Gun,WeaponMagazineGun,Ammunition1,usn_cal_155mm,31
usa_spa_m110a1,land_units,WeaponSystem1,M201,Gun,WeaponMagazineGun,Ammunition1,usn_cal_203mm,31
wp_aaa_61K,land_units,WeaponSystem1,37mm_61K,Gun,WeaponMagazine,Ammunition1,wp_cal_37mm,600
wp_aaa_ural_61K,land_units,WeaponSystem1,37mm_61K,Gun,WeaponMagazine,Ammunition1,wp_cal_37mm,600
wp_aaa_ural_s-60,land_units,WeaponSystem1,AZP_S-60,Gun,WeaponMagazine,Ammunition1,nv_cal_57mm,600
wp_aaa_ural_zu-23,land_units,WeaponSystem1,23mm_ZU-23,CIWS,WeaponMagazine,Ammunition1,wp_cal_23mm,2000
wp_asc_redut,land_units,WeaponSystem1,SS-N-3_Redut,Missile,WeaponMagazineMissile,Ammunition1,wp_ss-n-3b,1
wp_asc_rubezh,land_units,WeaponSystem1,SS-N-2,Missile,WeaponMagazineMissile,Ammunition1,wp_ss-n-2c,4
wp_lt_pt-76,land_units,WeaponSystem1,76mm_D-56,Gun,WeaponMagazineGun,Ammunition1,wp_cal_76mm_d56,40
wp_mbt_t-55,land_units,WeaponSystem1,100mm_D-10,Gun,WeaponMagazineGun,Ammunition1,wp_cal_100mm_d10,43
