alias,type,target_type,guidance,min_range_nm,max_range_nm,max_velocity_kt,warhead,power,impact_size,penetration,mass_kg,ammo_points
ger_dm1,Torpedo,ASW,ActiveSonar,0.5,,,BlastFrag,30,Large,Always,1370,4110
ger_dm2,Torpedo,ASuW,PassiveSonar,0.5,,,BlastFrag,47,Large,Always,1530,4590
ger_sst4,Torpedo,ASuW,PassiveSonar,0.4,,,BlastFrag,48,Large,Always,1414,4242
ir_107mm_rocket,MLRS,ASuW,None,0.5,5,748,BlastFrag,3,Small,Always,20,25
is_gabriel_2,Missile,ASuW,None,2.7,20,430.0,BlastFrag,30,SemiSmall,Moderate,522,1305
is_gabriel_3,Missile,ASuW,ActiveRadar,2.7,20,430.0,BlastFrag,37,SemiSmall,Moderate,560,1400
is_gabriel_3as,Missile,ASuW,ActiveRadar,3,35,480.0,BlastFrag,37,SemiSmall,Moderate,600,1500
it_a-244s_air,Torpedo,ASW,ActiveSonar,0.5,3.03,30.0,BlastFrag,27,Medium,Always,225,460
it_aspide_1,Missile,AAW,SemiActiveRadar,1.2,7,1230.0,BlastFrag,19,Small,Always,220,440
it_otomat_mk1,Missile,ASuW,ActiveRadar,3,43.0,600.0,BlastFrag,45,Medium,Moderate,780,1950
it_seakiller_2,Missile,ASuW,None,3.0,13.5,560.0,BlastFrag,25,SemiSmall,Minor,330,825
jasdf_asm-1,Missile,ASuW,ActiveRadar,6,27,600,BlastFrag,37,Medium,Moderate,600,1500
jmsdf_type54,Torpedo,ASuW,,0.5,3.2,30.0,BlastFrag,40,Medium,Always,1600,4800
jmsdf_type80,Torpedo,ASW,,0.5,,,BlastFrag,49,Medium,Always,650,1625
jsdf_sam1,Missile,AAW,IR,0.5,5.4,1370,BlastFrag,9,VerySmall,Moderate,100,150
knm_penguin_mk2,Missile,ASuW,IR,2,19,563,BlastFrag,33,SemiSmall,Heavy,380,950
knm_terne_shell,RBU,ASW,None,0.23,0.86,100,BlastFrag,46,Medium,Always,135,169
knm_tp612,Torpedo,ASuW,None,0.4,,,BlastFrag,69,Large,Always,1770,5310
knm_tp613,Torpedo,ASuW,PassiveSonar,0.3,,,BlastFrag,69,Large,Always,1765,5295
nv_cal_100mm,Projectile,AAW,,,,,,4,Small,Minor,28,28
nv_cal_40mm,Projectile,AAW,,,,,,1.2,VerySmall,Minor,2.1,2.1
nv_cal_57mm,Projectile,AAW,,,,,,1.5,VerySmall,Minor,7.4,7.4
pla_depth_charge,RBU,ASW,None,0.05,0.35,100,BlastFrag,30,Medium,Always,140,140
pla_hy-3,Missile,ASuW,ActiveRadar,3.5,100,1466,BlastFrag,68,Large,Always,3380,5550
pla_pl-2,Missile,AAW,IR,0.3,6.5,1130.0,BlastFrag,9,VerySmall,Always,75,112.5
pla_pl-2b,Missile,AAW,IR,0.3,6.5,1130.0,BlastFrag,9,VerySmall,Always,75,112.5
pla_pl-5b,Missile,AAW,IR,0.2,8.6,1280.0,BlastFrag,9,VerySmall,Always,85,127.5
pla_pl-5c,Missile,AAW,IR,0.2,11,1430.0,BlastFrag,9,VerySmall,Always,85,127.5
pla_type-2,Bomb,ASuW,None,0.01,10.0,,BlastFrag,20,SemiSmall,Minor,103,103
pla_type-3-250,Bomb,ASuW,None,0.01,10.0,,BlastFrag,30,Medium,Moderate,227,227
pla_type-3-500,Bomb,ASuW,None,0.01,10.0,,BlastFrag,43,Large,Heavy,500,500
pla_yj-1,Missile,ASuW,ActiveRadar,3.5,40,1350,BlastFrag,52,Medium,Always,1500,4500
pla_yj-6,Missile,ASuW,ActiveRadar,4.3,54,622,BlastFrag,66,Large,Always,2125,6375
plan_cal_130mm,Projectile,ASuW,,,,,,6,SemiSmall,Moderate,33.4,33.4
plan_cal_85mm_lt,Projectile,ASuW,,,,,HEAT,3.0,Small,Moderate,16,16
plan_hq-61,Missile,AAW,SemiActiveRadar,0.8,6,1230.0,BlastFrag,19,Small,Always,320,640
plan_hy-1,Missile,ASuW,ActiveRadar,8.0,43.2,620,BlastFrag,66,Large,Always,2154,6375
plan_hy-1a,Missile,ASuW,ActiveRadar,8.0,43.2,620,BlastFrag,66,Large,Always,2154,6375
plan_hy-1j,Missile,ASuW,ActiveRadar,8.0,43.2,620,BlastFrag,66,Large,Always,2154,6375
plan_hy-2,Missile,ASuW,ActiveRadar,8.0,50,620,BlastFrag,66,Large,Always,2154,6375
plan_hy-4,Missile,ASuW,ActiveRadar,8.0,80,530,BlastFrag,66,Large,Always,2000,6000
plan_skf-1,Sonobuoy,ASW,None,0,100.0,,,,,,14,17.5
plan_skf-2,Sonobuoy,ASW,None,0,100.0,,,,,,14,26
plan_sy-1,Missile,ASuW,ActiveRadar,4.3,25,622,BlastFrag,66,Large,Always,2125,6375
plan_sy-1a,Missile,ASuW,ActiveRadar,4.3,23.6,620,BlastFrag,66,Large,Always,1750,6375
plan_type62dc,RBU,ASW,None,0.216,0.783,680,BlastFrag,17,VeryLarge,Minor,73,243.75
plan_type75dc,RBU,ASW,None,0.054,1.4,680,BlastFrag,17,VeryLarge,Minor,73,243.75
plan_yj-8,Missile,ASuW,ActiveRadar,2,22.6,620,BlastFrag,39,Medium,Always,670,1675
plan_yu-1,Torpedo,ASuW,None,0.1,,,BlastFrag,80,Large,Always,1615,2422
plan_yu-1g,Torpedo,ASuW,,0.1,,,BlastFrag,80,Large,Always,1615,2422
plan_yu-3,Torpedo,ASW,PassiveSonar,0.5,8.5,33.0,BlastFrag,60,Large,Always,1615,2422
plan_yu-4,Torpedo,ASuW,,0.5,8.1,31.5,BlastFrag,80,Large,Always,1755,2422
raf_bl755,Bomb,ASuW,None,0.01,10.0,,Cluster,16,115,Minor,264,264
raf_rapier,Missile,AAW,None,0.2,5.1,2000.0,BlastFrag,16,Small,Heavy,45,90
ran_ikara,Missile,ASW,None,1.0,10.0,564.8,BlastFrag,,Small,Moderate,513,1026
rn_cal_113mm,Projectile,ASuW,,,,,,4.5,SemiSmall,Minor,25,25
rn_cal_114mm,Projectile,ASuW,,,,,,4.5,SemiSmall,Minor,21,21
rn_cal_30mm,Projectile,AAW,,,,,,0.6,VerySmall,Minor,0.97,0.97
rn_limbo_shell,RBU,ASW,None,0.2,0.5,100,BlastFrag,57,Large,Always,180,225
rn_mark20s,Torpedo,ASW,PassiveSonar,0.4,6.0,20.0,BlastFrag,29,Medium,Always,810,2430
rn_mark23,Torpedo,ASW,PassiveSonar,0.4,6,19.0,BlastFrag,29,Medium,Always,950,2430
rn_mark8_mod4,Torpedo,ASuW,None,0.3,5.4,41.0,BlastFrag,58,Large,Heavy,1535,2303
rn_mark9_mod2,Torpedo,ASuW,None,0.3,5.3,41.0,BlastFrag,69,Large,Heavy,1690,2535
rn_seacat,Missile,AAW,None,0.1,2.5,600.0,BlastFrag,13,VerySmall,Always,68,102
rn_seacat_mk2,Missile,AAW,None,0.1,3.6,600.0,BlastFrag,13,VerySmall,Always,68,102
rn_squid_shell,RBU,ASW,None,0.2,0.3,100,BlastFrag,57,Large,Always,200,250
suicide_bomb,Bomb,ASuW,None,0,0.01,10000.0,BlastFrag,90,VeryLarge,Always,,
swe_375mm_rocket,RBU,ASW,None,0.35,2,583,BlastFrag,52,Large,Always,230,287
usa_bgm-71a,Missile,ASuW,None,0.04,2,550.0,HEAT,3.5,Small,Moderate,20,30
usa_bgm-71c,Missile,ASuW,None,0.04,2,550.0,HEAT,4,Small,Moderate,20,30
usa_bgm-71d,Missile,ASuW,None,0.04,2.15,600.0,HEAT,7,Small,Heavy,20,30
usa_m26,MLRS,ASuW,None,5,17,1341,Cluster,8,VeryLarge,Minor,306,382
usa_mim-14,Missile,AAW,None,12.0,90.0,2310.0,BlastFrag,35,SemiSmall,Heavy,4860,7200
usa_mim-23,Missile,AAW,SemiActiveRadar,0.93,21.5,2150.0,BlastFrag,24,SemiSmall,Always,590,1475
usaf_agm-86c,Missile,ASuW,None,40.0,680.0,550.0,BlastFrag,70,VeryLarge,Always,1430,4290
usaf_aim-9e,Missile,AAW,IR,0.2,6.5,1130.0,BlastFrag,9,VerySmall,Always,76,114
usaf_aim-9j,Missile,AAW,IR,0.1,6.5,1130.0,BlastFrag,9,VerySmall,Always,76,114
usaf_aim-9p,Missile,AAW,IR,0.1,8,1430.0,BlastFrag,9,VerySmall,Always,81,122
usaf_cbu-24,Bomb,ASuW,None,0.01,10.0,,Cluster,16,125,Minor,222,222
usaf_gbu-15,Bomb,ASuW,IR,3,15,,BlastFrag,62,VeryLarge,Heavy,1130,1695
usaf_gbu-2,Bomb,ASuW,Laser,1,10,,BlastFrag,62,VeryLarge,Heavy,907,1360.5
usaf_m117,Bomb,ASuW,None,0.01,10.0,,BlastFrag,41,Medium,Moderate,340,340
usaf_m118,Bomb,ASuW,None,0.01,10.0,,BlastFrag,88,VeryLarge,Heavy,1383,1383
usaf_pilot_f-15c,Paratrooper,,None,,,,,,,,,
usaf_pilot_potus,Paratrooper,,None,,,,,,,,,
usn_adc_mk1_noisemaker,Noisemaker,ASW,,,,,,,,,16,16
usn_agm-122a,Missile,ASuW,AntiRadiation,0.2,10,1450.0,,9,VerySmall,Always,95,143
usn_agm-123,Missile,ASuW,Laser,1.0,13.5,600.0,BlastFrag,49,Medium,Always,582,873
usn_agm-12b,Missile,ASuW,None,0.85,6,810.0,BlastFrag,32,SemiSmall,Moderate,255,510
usn_agm-45,Missile,ASuW,AntiRadiation,3.0,21.5,1000.0,,25,Small,Minor,178,356
usn_agm-65b,Missile,ASuW,TV,2.0,17.0,500.0,HEAT,23,Small,Always,210,420
usn_agm-78,Missile,ASuW,AntiRadiation,5,60,2300.0,,37,Medium,Minor,620,1550
usn_agm-84a,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,520,1300
usn_agm-84c,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,520,1300
usn_agm-84d,Missile,ASuW,ActiveRadar,3.5,118,540.0,BlastFrag,45,Medium,Always,540,1350
usn_agm-88a,Missile,ASuW,AntiRadiation,5,80,2100.0,,25,Medium,Minor,360,900
usn_aim-54a,Missile,AAW,ActiveRadar,2,110.0,2250.0,BlastFrag,23,Small,Always,443,1108
usn_aim-7d,Missile,AAW,SemiActiveRadar,1.5,24,950.0,BlastFrag,19,Small,Always,182,364
usn_aim-7e,Missile,AAW,SemiActiveRadar,1.5,27,960.0,BlastFrag,19,Small,Always,205,410
usn_aim-7e2,Missile,AAW,SemiActiveRadar,0.8,27,1000.0,BlastFrag,19,Small,Always,192,384
usn_aim-7e4,Missile,AAW,SemiActiveRadar,0.8,27,1000.0,BlastFrag,19,Small,Always,192,384
usn_aim-7f,Missile,AAW,SemiActiveRadar,0.8,38,1600.0,BlastFrag,19,Small,Always,231,462
usn_aim-7m,Missile,AAW,SemiActiveRadar,0.8,38,1600.0,BlastFrag,19,Small,Always,231,462
usn_aim-9b,Missile,AAW,IR,0.3,5.5,1130.0,BlastFrag,9,VerySmall,Always,72,108
usn_aim-9c,Missile,AAW,SemiActiveRadar,0.2,10,1300.0,BlastFrag,9,VerySmall,Always,95,143
usn_aim-9d,Missile,AAW,IR,0.2,10,1450.0,BlastFrag,9,VerySmall,Always,88,132
usn_aim-9g,Missile,AAW,IR,0.2,10,1450.0,BlastFrag,9,VerySmall,Always,88,132
usn_aim-9h,Missile,AAW,IR,0.2,10,1450.0,BlastFrag,9,VerySmall,Always,88,132
usn_aim-9l,Missile,AAW,IR,0.1,10,1450.0,BlastFrag,9,VerySmall,Always,84,126
usn_aim-9m,Missile,AAW,IR,0.1,10,1450.0,BlastFrag,9,VerySmall,Always,84,126
usn_an_slq_25_nixie_decoy,Noisemaker,ASW,,,,,,,,,,
usn_cal_05in,Projectile,AAW,,,,,,0.1,Tiny,Minor,0.134,0.134
usn_cal_105mm,Projectile,ASuW,,,,,HEAT,4.2,Small,Always,18,18
usn_cal_127mm,Projectile,ASuW,,,,,,5,SemiSmall,Moderate,39,39
usn_cal_152mm,Projectile,ASuW,,,,,,6.8,Medium,Heavy,48,48
usn_cal_155mm,Projectile,ASuW,,,,,,6.8,Medium,Heavy,43.2,43.2
usn_cal_203mm,Projectile,ASuW,,,,,,9.6,Medium,Heavy,118,118
usn_cal_203mm_clgp,Projectile,ASuW,Laser,,,,,6.8,Medium,Heavy,118,118
usn_cal_203mm_rap,Projectile,ASuW,,,,,,9.6,Medium,Heavy,118,118
usn_cal_20mm,Projectile,AAW,,,,,,0.35,Tiny,Minor,0.272,0.272
usn_cal_25mm_m2,Projectile,ASuW,,,,,,0.5,Tiny,Minor,0.5,0.5
usn_cal_35mm,Projectile,AAW,,,,,,0.7,VerySmall,Minor,1.58,1.58
usn_cal_3in50,Projectile,AAW,,,,,,2.4,Small,Minor,11,11
usn_cal_406mm,Projectile,ASuW,,,,,,35,Large,Always,862,862
usn_cal_40mm,Projectile,AAW,,,,,,1.2,VerySmall,Minor,4.5,4.5
usn_cal_5in38,Projectile,ASuW,,,,,,5,SemiSmall,Moderate,39,39
usn_cal_75mm,Projectile,AAW,,,,,,2.4,Small,Minor,10,10
usn_cal_76mm,Projectile,AAW,,,,,,2.4,Small,Minor,12,12
usn_gbu-10,Bomb,ASuW,Laser,1,10,,BlastFrag,62,VeryLarge,Heavy,950,1425
usn_gbu-12,Bomb,ASuW,Laser,1,10,,BlastFrag,28,Medium,Moderate,250,375
usn_gbu-16,Bomb,ASuW,Laser,1,10,,BlastFrag,43,Large,Heavy,450,675
usn_gbu-24,Bomb,ASuW,Laser,1,20,,BlastFrag,62,VeryLarge,Heavy,1050,1575
usn_hydra,AerialRocket,ASuW,None,0.16,1,1409,HEAT,3,Small,Minor,11,13.75
usn_mk-82,Bomb,ASuW,None,0.01,10.0,,BlastFrag,28,Medium,Moderate,230,230
usn_mk-82_snakeye,Bomb,ASuW,None,0.01,10.0,,BlastFrag,32,Medium,Heavy,230,230
usn_mk-83,Bomb,ASuW,None,0.01,10.0,,BlastFrag,43,Large,Heavy,459,459
usn_mk-84,Bomb,ASuW,None,0.01,10.0,,BlastFrag,62,VeryLarge,Heavy,925,925
usn_mk16,Torpedo,ASuW,None,0.3,6.2,46.2,BlastFrag,100,VeryLarge,Always,1690,2820
usn_mk37,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,650,1950
usn_mk37_mod1,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,650,1950
usn_mk37_mod2,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,650,1950
usn_mk37_mod3,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,650,1950
usn_mk37c,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,650,1950
usn_mk37e,Torpedo,ASW,,0.4,,,BlastFrag,49,Medium,Always,700,2100
usn_mk44_air,Torpedo,ASW,ActiveSonar,0.5,3,30.0,BlastFrag,23,Medium,Always,230,460
usn_mk44_ship,Torpedo,ASW,ActiveSonar,0.5,3,30.0,BlastFrag,23,Medium,Always,230,460
usn_mk46_air,Torpedo,ASW,,0.5,5,45.0,BlastFrag,27,Medium,Always,230,460
usn_mk46_mod5_air,Torpedo,ASW,,0.5,,,BlastFrag,27,Medium,Always,230,460
usn_mk46_mod5_ship,Torpedo,ASW,,0.5,,,BlastFrag,27,Medium,Always,230,460
usn_mk46_ship,Torpedo,ASW,,0.5,5,45.0,BlastFrag,27,Medium,Always,230,460
usn_mk48,Torpedo,ASW,,0.5,,,BlastFrag,68,Large,Always,1565,4695
usn_mk48_mod4,Torpedo,ASW,,0.5,,,BlastFrag,68,Large,Always,1565,4695
usn_mk48_mod4_adcap,Torpedo,ASW,,0.5,,,BlastFrag,68,Large,Always,1565,4695
usn_mk54_dc,AirDepthCharge,ASW,None,0.01,10.0,,BlastFrag,32,Large,Moderate,136,100
usn_moss,MOSS,ASW,None,0.1,,,,,,,450,900
usn_pilot_a-6,Paratrooper,,None,,,,,,,,,
usn_pilot_a-7,Paratrooper,,None,,,,,,,,,
usn_pilot_f-14a,Paratrooper,,None,,,,,,,,,
usn_pilot_f-4,Paratrooper,,None,,,,,,,,,
usn_pilot_president_pod,Paratrooper,,None,,,,,,,,,
usn_pilot_ra-5c,Paratrooper,,None,,,,,,,,,
usn_pilot_s-3a,Paratrooper,,None,,,,,,,,,
usn_rgm-109b,Missile,ASuW,ActiveRadar,20.0,250.0,550.0,BlastFrag,64,Large,Always,1450,4350
usn_rgm-109c,Missile,ASuW,None,40.0,675.0,550.0,BlastFrag,64,Large,Always,1450,4350
usn_rgm-84a,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_rgm-84c,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_rgm-84d,Missile,ASuW,ActiveRadar,3.5,80.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_rgm-8h,Missile,ASuW,AntiRadiation,6,130.0,1500,BlastFrag,44,Medium,Always,3500,10500
usn_rim-24b,Missile,AAW,SemiActiveRadar,3,18,1805.0,BlastFrag,30,SemiSmall,Always,590,1475
usn_rim-2f,Missile,AAW,SemiActiveRadar,5,45.0,3200.0,BlastFrag,30,SemiSmall,Always,1360,4080
usn_rim-66a,Missile,AAW,SemiActiveRadar,2.0,20,1805.0,BlastFrag,24,SemiSmall,Always,580,1450
usn_rim-66b,Missile,AAW,SemiActiveRadar,2.5,25,2350.0,BlastFrag,24,SemiSmall,Always,642,1605
usn_rim-66c,Missile,AAW,SemiActiveRadar,2.5,40.0,2350.0,BlastFrag,24,SemiSmall,Always,642,1605
usn_rim-66d,Missile,AAW,SemiActiveRadar,2.5,40.0,2350.0,BlastFrag,24,SemiSmall,Always,642,1605
usn_rim-66e,Missile,AAW,SemiActiveRadar,2.5,25,2350.0,BlastFrag,24,SemiSmall,Always,642,1605
usn_rim-66g,Missile,AAW,SemiActiveRadar,2.5,90.0,2800.0,BlastFrag,24,SemiSmall,Always,707,1768
usn_rim-67a,Missile,AAW,SemiActiveRadar,5,45.0,3200.0,BlastFrag,24,SemiSmall,Always,1360,4080
usn_rim-67b,Missile,AAW,SemiActiveRadar,5,90.0,3200.0,BlastFrag,24,SemiSmall,Always,1360,4080
usn_rim-67c,Missile,AAW,SemiActiveRadar,5,160.0,3600.0,BlastFrag,24,SemiSmall,Always,1508,4525
usn_rim-7,Missile,AAW,SemiActiveRadar,1.2,4.5,960.0,BlastFrag,19,Small,Always,192,384
usn_rim-7h,Missile,AAW,SemiActiveRadar,1.2,4.5,960.0,BlastFrag,19,Small,Always,192,384
usn_rim-7m,Missile,AAW,SemiActiveRadar,0.8,10,1600.0,BlastFrag,19,Small,Always,231,462
usn_rim-8,Missile,AAW,None,10,130.0,1500,BlastFrag,44,Medium,Always,3500,10500
usn_rockeye,Bomb,ASuW,None,0.01,10.0,,Cluster,20,40,Minor,222,333
usn_rr144_chaff,Chaff,AAW,,,,,,,,,0.1,0.1
usn_rur-5,ASROC,ASW,None,1.0,6.0,600.0,,,,,487,1217
usn_ssq-101,Sonobuoy,ASW,None,0,100.0,,,,,,14.5,18.125
usn_ssq-41,Sonobuoy,ASW,None,0,100.0,,,,,,9.5,11.875
usn_ssq-47,Sonobuoy,ASW,None,0,100.0,,,,,,16.3,20.375
usn_ssq-53,Sonobuoy,ASW,None,0,100.0,,,,,,9.5,11.875
usn_ssq-62,Sonobuoy,ASW,None,0,100.0,,,,,,16.3,20.375
usn_ssq-77,Sonobuoy,ASW,None,0,100.0,,,,,,20,60
usn_ugm-109b,Missile,ASuW,ActiveRadar,20.0,250.0,550.0,BlastFrag,64,Large,Always,1450,4350
usn_ugm-109c,Missile,ASuW,None,40.0,450.0,550.0,BlastFrag,64,Large,Always,1450,4350
usn_ugm-84a,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_ugm-84b,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_ugm-84c,Missile,ASuW,ActiveRadar,3.5,65.0,540.0,BlastFrag,45,Medium,Always,690,1725
usn_walleye2,Bomb,ASuW,TV,3,30,,BlastFrag,90,VeryLarge,Always,1130,1695
usn_zuni,AerialRocket,ASuW,None,0.6,4.3,1341,HEAT,14,SemiSmall,Heavy,46.3,57.875
wp_152mm_2a33,Projectile,ASuW,,,,,,6.8,Medium,Heavy,40,40
wp_45-36nu,Torpedo,ASuW,None,0.2,3.72,41.0,BlastFrag,69,Large,Heavy,935,1402
wp_53-38,Torpedo,ASuW,None,0.1,5.5,34.0,BlastFrag,70,Large,Always,1615,2422
wp_53-39,Torpedo,ASuW,None,0.1,2.5,51.0,BlastFrag,70,Large,Always,1780,1780
wp_53-56v,Torpedo,ASuW,None,0.1,4.5,50.0,BlastFrag,70,Large,Always,2070,3105
wp_53-65K,Torpedo,ASuW,Wake,0.5,10.26,45.0,BlastFrag,70,Large,Always,2200,6600
wp_65-76,Torpedo,ASuW,Wake,0.5,,,BlastFrag,94,VeryLarge,Always,4500,13500
wp_aa-11,Missile,AAW,IR,0.1,16.2,1700.0,BlastFrag,5,Tiny,Always,105,210
wp_aa-2-2,Missile,AAW,IR,0.2,8.6,1295.0,BlastFrag,9,VerySmall,Always,90,135
wp_aa-2a,Missile,AAW,IR,0.3,6.5,965.0,BlastFrag,9,VerySmall,Always,75,112.5
wp_aa-2c,Missile,AAW,SemiActiveRadar,0.3,6.5,885.0,BlastFrag,9,VerySmall,Always,83,124.5
wp_aa-2d,Missile,AAW,IR,0.2,8.6,1150.0,BlastFrag,9,VerySmall,Always,87,130.5
wp_aa-3e,Missile,AAW,SemiActiveRadar,1,25,930.0,BlastFrag,9,VerySmall,Always,292,584
wp_aa-3f,Missile,AAW,IR,1,20,1125.0,BlastFrag,9,VerySmall,Always,272,544
wp_aa-6a,Missile,AAW,SemiActiveRadar,3.0,27,1350.0,BlastFrag,18,VerySmall,Always,469,1172.5
wp_aa-6b,Missile,AAW,IR,3.0,25,1350.0,BlastFrag,18,VerySmall,Always,471,1177.5
wp_aa-6c,Missile,AAW,SemiActiveRadar,3.0,37,1700.0,BlastFrag,18,VerySmall,Always,469,1172.5
wp_aa-6d,Missile,AAW,IR,3.0,35,1700.0,BlastFrag,18,VerySmall,Always,471,1177.5
wp_aa-7c,Missile,AAW,SemiActiveRadar,1.5,27,1500.0,BlastFrag,15,VerySmall,Always,243,486
wp_aa-7d,Missile,AAW,IR,1.5,25,1500.0,BlastFrag,15,VerySmall,Always,235,470
wp_aa-8,Missile,AAW,IR,0.32,6,1250.0,BlastFrag,9,VerySmall,Always,44,66
wp_aircraft_chaff,Chaff,AAW,,,,,,,,,0.1,0
wp_apr-2,Torpedo,ASW,ActiveSonar,0.2,1.08,62.0,BlastFrag,36,Medium,Always,575,1437.5
wp_as-10,Missile,ASuW,Laser,0.8,6.5,1700.0,BlastFrag,35,SemiSmall,Always,300,600
wp_as-11,Missile,ASuW,AntiRadiation,5.0,86.0,2000.0,,37,Medium,Always,640,1600
wp_as-12,Missile,ASuW,AntiRadiation,0.8,32.4,1700.0,,35,SemiSmall,Always,310,620
wp_as-13,Missile,ASuW,TV,2.5,21.6,553.0,BlastFrag,36,Medium,Always,930,2325
wp_as-14a,Missile,ASuW,Laser,2,16.2,850.0,BlastFrag,54,Large,Always,660,1650
wp_as-14b,Missile,ASuW,TV,2,16.2,850.0,BlastFrag,54,Large,Always,680,1700
wp_as-2,Missile,ASuW,ActiveRadar,35,150,1100.0,BlastFrag,92,VeryLarge,Always,4500,13500
wp_as-2b,Missile,ASuW,None,35,150,1100.0,BlastFrag,22,VerySmall,Always,4533,13599
wp_as-4,Missile,ASuW,ActiveRadar,100,250,2400,BlastFrag,93,VeryLarge,Always,5820,17460
wp_as-4b,Missile,ASuW,None,100,250,2400,BlastFrag,95,VeryLarge,Always,5800,17400
wp_as-6,Missile,ASuW,ActiveRadar,100,160,1720,BlastFrag,95,VeryLarge,Always,4500,13500
wp_as-7,Missile,ASuW,None,0.85,5.4,1600.0,BlastFrag,32,SemiSmall,Moderate,278,556
wp_at-1,Torpedo,ASW,,0.5,2.7,29.0,BlastFrag,33,Medium,Always,580,1160
wp_at-10,Missile,ASuW,Laser,0.05,2.2,720,HEAT,7,SemiSmall,Always,18,36
wp_at-2,Torpedo,ASW,,0.3,5.5,23.0,BlastFrag,49,Medium,Always,980,2450
wp_at-6,Missile,ASuW,None,0.05,2.7,720,HEAT,8,SemiSmall,Always,35,70
wp_cal_05in,Projectile,AAW,,,,,,0.1,Tiny,Minor,0.133,0.133
wp_cal_100mm,Projectile,AAW,,,,,,4,Small,Minor,27,27
wp_cal_100mm_cm5,Projectile,AAW,,,,,,4,Small,Moderate,28,28
wp_cal_100mm_d10,Projectile,ASuW,,,,,HEAT,4,Small,Always,24,24
wp_cal_125mm,Projectile,ASuW,,,,,HEAT,4.9,Small,Always,33,33
wp_cal_130mm,Projectile,ASuW,,,,,,6,SemiSmall,Moderate,33.4,33.4
wp_cal_130mm_ss,Projectile,ASuW,,,,,,0,Tiny,Moderate,33.4,33.4
wp_cal_14mm,Projectile,AAW,,,,,,0.15,Tiny,Minor,0.2,0.2
wp_cal_152mm,Projectile,ASuW,,,,,,7.4,Medium,Heavy,44,44
wp_cal_23mm,Projectile,AAW,,,,,,0.4,Tiny,Minor,0.45,0.45
wp_cal_25mm,Projectile,AAW,,,,,,0.5,Tiny,Minor,0.672,0.672
wp_cal_30mm,Projectile,AAW,,,,,,0.6,VerySmall,Minor,1.06,1.06
wp_cal_37mm,Projectile,AAW,,,,,,1.1,VerySmall,Minor,1.52,1.52
