alias,category,variant,nation,service_date,hullnumber
civ_tu-154,aircraft,Squadron2,DDR,,
civ_tu-154,aircraft,Squadron3,Poland,,
civ_tu-154,aircraft,Squadron4,Cuba,,
civ_tu-154,aircraft,Squadron5,North_Korea,,
civ_tu-154,aircraft,Squadron6,Romania,,
civ_v35,aircraft,Default,US,1966,
fr_alouette_II,aircraft,Default,France,1957,
fr_alouette_II,aircraft,Squadron1,France,,
fr_alouette_II,aircraft,Squadron2,Belgium,,
fr_alouette_II,aircraft,Squadron3,Germany,,
fr_alouette_II,aircraft,Squadron4,Portugal,,
fr_alouette_II,aircraft,Squadron5,Spain,,
fr_alouette_II,aircraft,Squadron6,Switzerland,,
fr_alouette_II,aircraft,Squadron7,Sweden,,
fr_alouette_II,aircraft,Squadron8,Turkey,,
fr_alouette_II,aircraft,Squadron9,Brazil,,
fr_alouette_II,aircraft,Squadron10,Philippines,,
fr_as-350,aircraft,Default,France,1966|1992,
fr_as-350,aircraft,Squadron1,Australia,,
fr_as-350,aircraft,Squadron2,US,,
fr_f1a,aircraft,Default,France,1974,
fr_f1a,aircraft,Squadron1,Libya,1978,
fr_f1a,aircraft,Squadron2,South_Africa,1975,
fr_f1a,aircraft,Squadron3,France,,
fr_f1a,aircraft,Squadron4,France,,
fr_f1a,aircraft,Squadron5,France,,
fr_f1a,aircraft,Squadron6,France,,
fr_f1c,aircraft,Default,France,1974,
fr_f1c,aircraft,Squadron1,Greece,,
fr_f1c,aircraft,Squadron2,Greece,,
fr_f1c,aircraft,Squadron3,Jordan,,
fr_f1c,aircraft,Squadron4,South_Africa,,
fr_f1c,aircraft,Squadron5,Spain,,
fr_f1c,aircraft,Squadron6,Spain,,
fr_f1c,aircraft,Squadron7,Kuwait,,
fr_f1c,aircraft,Squadron8,France,,
fr_f1c,aircraft,Squadron9,France,,
fr_f1c,aircraft,Squadron10,France,,
fr_f1c,aircraft,Squadron11,France,,
fr_f1e,aircraft,Default,France,1974,
fr_f1e,aircraft,Squadron1,Ecuador,,
fr_f1e,aircraft,Squadron2,Iraq,,
fr_f1e,aircraft,Squadron3,Iraq,,
fr_f1e,aircraft,Squadron4,Jordan,,
fr_f1e,aircraft,Squadron5,Libya,,
fr_f1e,aircraft,Squadron6,Spain,,
fr_f1e,aircraft,Squadron7,Qatar,,
fr_f1e,aircraft,Squadron8,France,,
fr_f1e,aircraft,Squadron9,France,,
fr_f1e,aircraft,Squadron10,France,,
fr_f1e,aircraft,Squadron11,France,,
fr_h700,aircraft,Default,US,1977,
fr_mirage_iii,aircraft,Default,France,1974,
fr_mirage_iii,aircraft,Squadron1,Australia,1967|1986,
fr_mirage_iii,aircraft,Squadron2,Australia,1965|1988,
fr_mirage_iii,aircraft,Squadron3,Australia,1969|1987,
fr_mirage_iii,aircraft,Squadron4,Australia,1969|1988,
fr_mirage_iii,aircraft,Squadron5,Switzerland,,
fr_mirage_iii,aircraft,Squadron6,Argentina,,
fr_sa-321,aircraft,Default,Iraq,1966,
fr_sa-321,aircraft,Squadron1,Iraq,1977,
fr_sa-321,aircraft,Squadron2,France,,
fr_sa-321,aircraft,Squadron3,France,,
fr_sa-321,aircraft,Squadron4,France,,
iaf_f-4e_kurnass,aircraft,Default,Israel,1969,
iaf_f-4e_kurnass,aircraft,Squadron1,Israel,,
iaf_f-4e_kurnass,aircraft,Squadron2,Israel,,
iaf_f-4e_kurnass,aircraft,Squadron3,Israel,,
iaf_f-4e_kurnass,aircraft,Squadron4,Israel,,
iaf_f-4e_kurnass,aircraft,Squadron5,Israel,,
iaf_md500,aircraft,Default,Israel,1967,
iaf_md500,aircraft,Squadron1,Israel,,
iaf_md500,aircraft,Squadron2,Israel,,
iaf_md500,aircraft,Squadron3,US,,
iqaf_md500,aircraft,Default,Iraq,1967,
iqaf_md500,aircraft,Squadron1,Iraq,,
iqaf_md500,aircraft,Squadron2,Iraq,,
iqaf_md500,aircraft,Squadron3,Iraq,,
iqaf_md500,aircraft,Squadron4,US,,
iriaf_ah-1j,aircraft,Default,Iran,1971,
iriaf_ah-1j,aircraft,Squadron1,Iran,,
iriaf_ah-1j,aircraft,Squadron2,Iran,,
iriaf_ah-1j,aircraft,Squadron3,Iran,,
iriaf_f-14a,aircraft,Default,Iran,1976,
iriaf_f-14a,aircraft,Squadron1,Iran,,
iriaf_f-14a,aircraft,Squadron2,Iran,,
iriaf_f-14a,aircraft,Squadron3,Iran,,
iriaf_f-4d,aircraft,Default,Iran,1968,
iriaf_f-4d,aircraft,Squadron1,Iran,,
iriaf_f-4d,aircraft,Squadron2,Iran,,
iriaf_f-4e,aircraft,Default,Iran,1971,
iriaf_f-4e,aircraft,Squadron1,Iran,,
iriaf_f-4e,aircraft,Squadron2,Iran,,
iriaf_f-4e,aircraft,Squadron3,Iran,,
iriaf_f-4e,aircraft,Squadron4,Iran,,
iriaf_f-4e,aircraft,Squadron5,Iran,,
iriaf_f-4e,aircraft,Squadron6,Iran,,
iriaf_f-4e,aircraft,Squadron7,Iran,,
iriaf_f-4e,aircraft,Squadron8,Iran,,
iriaf_f-4e,aircraft,Squadron9,Iran,,
iriaf_f-4e,aircraft,Squadron10,Iran,,
iriaf_f-4e,aircraft,Squadron11,Iran,,
irina_sh-3d,aircraft,Default,Iran,1970,
irina_sh-3d,aircraft,Squadron1,Iran,,
irina_sh-3d,aircraft,Squadron2,Iran,,
irina_sh-3d,aircraft,Squadron3,Iran,,
jasdf_f-1,aircraft,Default,Japan,1977,
jasdf_f-1,aircraft,Squadron1,Japan,,
jasdf_f-1,aircraft,Squadron2,Japan,,
jasdf_f-1,aircraft,Squadron3,Japan,,
jasdf_f-4ej,aircraft,Default,Japan,1972,
jasdf_f-4ej,aircraft,Squadron1,Japan,,
jasdf_f-4ej,aircraft,Squadron2,Japan,,
jasdf_f-4ej,aircraft,Squadron3,Japan,,
jasdf_f-4ej,aircraft,Squadron4,Japan,,
jasdf_f-4ej,aircraft,Squadron5,Japan,,
jasdf_f-4ej,aircraft,Squadron6,Japan,,
jasdf_t-2,aircraft,Default,Japan,1975,
jasdf_t-2,aircraft,Squadron1,Japan,,
jasdf_t-2,aircraft,Squadron2,Japan,,
jasdf_t-2,aircraft,Squadron3,Japan,,
jasdf_t-2,aircraft,Squadron4,Japan,,
jasdf_t-2,aircraft,Squadron5,Japan,,
jasdf_t-2,aircraft,Squadron6,Japan,,
jmsdf_hss-2,aircraft,Default,Japan,1964,
jmsdf_hss-2,aircraft,Squadron1,Japan,,
jmsdf_ps-1,aircraft,Default,Japan,1971,
jmsdf_ps-1,aircraft,Squadron1,Japan,,
jmsdf_us-1,aircraft,Default,Japan,1975,
jmsdf_us-1,aircraft,Squadron1,Japan,,
pla_f-5,aircraft,Default,China,1957,
pla_f-5,aircraft,Squadron1,North_Korea,,
pla_f-5,aircraft,Squadron2,Pakistan,,
pla_f-5,aircraft,Squadron3,China,,
pla_f-5,aircraft,Squadron4,China,,
pla_h-6a,aircraft,Default,China,1968,
pla_h-6a,aircraft,Squadron1,China,,
pla_h-6a,aircraft,Squadron2,China,,
pla_h-6a,aircraft,Squadron3,China,,
pla_h-6a,aircraft,Squadron4,China,,
pla_h-6a,aircraft,Squadron5,China,,
pla_h-6a,aircraft,Squadron6,China,,
pla_h-6d,aircraft,Default,China,1980,
pla_h-6d,aircraft,Squadron1,China,,
pla_h-6d,aircraft,Squadron2,China,,
pla_h-6d,aircraft,Squadron3,China,,
pla_h-6d,aircraft,Squadron4,China,,
pla_h-6d,aircraft,Squadron5,China,,
pla_h-6d,aircraft,Squadron6,China,,
pla_j-5,aircraft,Default,China,1957,
pla_j-5,aircraft,Squadron1,China,,
pla_j-7c,aircraft,Default,China,1989,
pla_j-7c,aircraft,Squadron1,China,,
pla_j-7c,aircraft,Squadron2,China,,
pla_j-7c,aircraft,Squadron3,North_Korea,,
pla_q-5,aircraft,Default,China,1970,
pla_q-5,aircraft,Squadron1,China,,
pla_q-5,aircraft,Squadron2,China,,
pla_q-5,aircraft,Squadron3,China,,
pla_q-5,aircraft,Squadron4,China,,
pla_q-5,aircraft,Squadron5,China,,
pla_q-5,aircraft,Squadron6,China,,
pla_q-5,aircraft,Squadron7,China,,
pla_q-5,aircraft,Squadron8,China,,
pla_q-5,aircraft,Squadron9,Pakistan,,
pla_q-5,aircraft,Squadron10,Cuba,,
pla_q-5a,aircraft,Default,China,1983,
pla_q-5a,aircraft,Squadron1,China,,
pla_q-5a,aircraft,Squadron2,China,,
pla_q-5a,aircraft,Squadron3,China,,
pla_q-5a,aircraft,Squadron4,China,,
pla_q-5a,aircraft,Squadron5,China,,
pla_q-5a,aircraft,Squadron6,China,,
pla_q-5a,aircraft,Squadron7,China,,
pla_q-5a,aircraft,Squadron8,China,,
pla_z-8,aircraft,Default,China,1985,
pla_z-8,aircraft,Squadron1,China,,
pla_z-8,aircraft,Squadron2,China,,
pla_z-8,aircraft,Squadron3,China,,
pla_z-8,aircraft,Squadron4,China,,
pla_z-8,aircraft,Squadron5,China,,
pla_z-8,aircraft,Squadron6,China,,
pla_z-8,aircraft,Squadron7,China,,
pla_z-8,aircraft,Squadron8,North_Korea,,
plan_sh-5,aircraft,Default,China,1986,
plan_sh-5,aircraft,Squadron1,China,,
raaf_f-111c,aircraft,Default,Australia,1979,
raaf_f-111c,aircraft,Squadron1,Australia,1973|2009,
raaf_f-111c,aircraft,Squadron2,Australia,1973|2010,
ran_a-4g,aircraft,Default,US,1959|1975,
ran_a-4g,aircraft,Squadron1,Australia,,
ran_a-4g,aircraft,Squadron2,NewZealand,,
usaf_b-52d,aircraft,Default,US,1956|1983,
usaf_b-52d,aircraft,Squadron1,US,,
usaf_b-52d,aircraft,Squadron2,US,,
usaf_b-52g,aircraft,Default,US,1958|2013,
usaf_b-52g,aircraft,Squadron1,US,,
usaf_b-52g,aircraft,Squadron2,US,,
usaf_b-52g,aircraft,Squadron3,US,,
usaf_b-52g,aircraft,Squadron4,US,,
usaf_c-141b,aircraft,Default,US,1965|2006,
usaf_c-141b,aircraft,Squadron1,US,,
usaf_c-141b,aircraft,Squadron2,US,,
usaf_e-3a,aircraft,Default,US,1977,
usaf_e-3a,aircraft,Squadron1,US,,
usaf_e-3a,aircraft,Squadron2,US,,
usaf_f-15a,aircraft,Default,US,1972|1997,
usaf_f-15a,aircraft,Squadron1,US,,
usaf_f-15a,aircraft,Squadron2,US,,
usaf_f-15a,aircraft,Squadron3,US,,
usaf_f-15a,aircraft,Squadron4,US,,
usaf_f-15a,aircraft,Squadron5,US,,
usaf_f-15a,aircraft,Squadron6,US,,
usaf_f-15a,aircraft,Squadron7,US,,
usaf_f-15c,aircraft,Default,US,1979|2025,
usaf_f-15c,aircraft,Squadron1,US,,
usaf_f-15c,aircraft,Squadron2,US,,
usaf_f-15c,aircraft,Squadron3,US,,
usaf_f-15c,aircraft,Squadron4,US,,
usaf_f-15c,aircraft,Squadron5,US,,
usaf_f-15c,aircraft,Squadron6,US,,
usaf_f-15c,aircraft,Squadron7,US,,
usaf_f-15c,aircraft,Squadron8,US,,
usaf_f-15c,aircraft,Squadron9,US,,
usaf_f-15c,aircraft,Squadron10,US,,
usaf_f-15c,aircraft,Squadron11,US,,
usaf_f-15c,aircraft,Squadron12,US,,
usaf_f-4d,aircraft,Default,US,1966|1990,
usaf_f-4d,aircraft,Squadron1,US,,
usaf_f-4d,aircraft,Squadron2,US,,
usaf_f-4d,aircraft,Squadron3,US,,
usaf_f-4d,aircraft,Squadron4,US,,
usaf_f-4d,aircraft,Squadron5,US,,
usaf_f-4d,aircraft,Squadron6,US,,
usaf_f-4d,aircraft,Squadron7,US,,
usaf_f-4d,aircraft,Squadron8,US,,
usaf_f-4d,aircraft,Squadron9,US,,
usaf_f-4e,aircraft,Default,US,1967|1996,
usaf_f-4e,aircraft,Squadron1,US,,
usaf_f-4e,aircraft,Squadron2,US,,
usaf_f-4e,aircraft,Squadron3,US,,
usaf_f-4e,aircraft,Squadron4,US,,
usaf_f-4e,aircraft,Squadron5,US,,
usaf_f-4e,aircraft,Squadron6,US,,
usaf_f-4e,aircraft,Squadron7,US,,
usaf_f-4e,aircraft,Squadron8,US,,
usaf_f-4e,aircraft,Squadron9,US,,
usaf_f-4e,aircraft,Squadron10,US,,
usaf_f-4e,aircraft,Squadron11,US,,
usaf_f-4e,aircraft,Squadron12,US,,
usaf_f-5a,aircraft,Default,US,1962,
usaf_f-5a,aircraft,Squadron1,Greece,,
usaf_f-5a,aircraft,Squadron2,Greece,,
usaf_f-5a,aircraft,Squadron3,Greece,,
usaf_f-5a,aircraft,Squadron4,Netherlands,,
usaf_f-5a,aircraft,Squadron5,Netherlands,,
usaf_f-5a,aircraft,Squadron6,Netherlands,,
usaf_f-5a,aircraft,Squadron7,Netherlands,,
usaf_f-5a,aircraft,Squadron8,Norway,,
usaf_f-5a,aircraft,Squadron9,Norway,,
usaf_f-5a,aircraft,Squadron10,Norway,,
usaf_f-5a,aircraft,Squadron11,Philippines,,
usaf_f-5a,aircraft,Squadron12,South_Vietnam,,
usaf_f-5a,aircraft,Squadron13,South_Vietnam,,
usaf_f-5a,aircraft,Squadron14,South_Vietnam,,
usaf_f-5a,aircraft,Squadron15,South_Vietnam,,
usaf_f-5a,aircraft,Squadron16,South_Vietnam,,
usaf_f-5a,aircraft,Squadron17,South_Vietnam,,
usaf_f-5a,aircraft,Squadron18,South_Vietnam,,
usaf_f-5a,aircraft,Squadron19,Spain,,
usaf_f-5a,aircraft,Squadron20,Turkey,,
usaf_f-5a,aircraft,Squadron21,Turkey,,
usaf_f-5a,aircraft,Squadron22,US,,
usaf_f-5a,aircraft,Squadron23,US,,
usaf_f-5a,aircraft,Squadron24,US,,
usaf_f-5e,aircraft,Default,US,1972,
usaf_f-5e,aircraft,Squadron1,Iran,,
usaf_f-5e,aircraft,Squadron2,Iran,,
usaf_f-5e,aircraft,Squadron3,Iran,,
usaf_f-5e,aircraft,Squadron4,Iran,,
usaf_f-5e,aircraft,Squadron5,Iran,,
usaf_f-5e,aircraft,Squadron6,Iran,,
usaf_f-5e,aircraft,Squadron7,Iran,,
usaf_f-5e,aircraft,Squadron8,Iran,,
usaf_f-5e,aircraft,Squadron9,Iran,,
usaf_f-5e,aircraft,Squadron10,Iran,,
usaf_f-5e,aircraft,Squadron11,Brazil,,
usaf_f-5e,aircraft,Squadron12,Brazil,,
usaf_f-5e,aircraft,Squadron13,Chile,,
usaf_f-5e,aircraft,Squadron14,Indonesia,,
usaf_f-5e,aircraft,Squadron15,Jordan,,
usaf_f-5e,aircraft,Squadron16,Jordan,,
usaf_f-5e,aircraft,Squadron17,Jordan,,
usaf_f-5e,aircraft,Squadron18,Malaysia,,
usaf_f-5e,aircraft,Squadron19,Mexico,,
usaf_f-5e,aircraft,Squadron20,Morocco,,
usaf_f-5e,aircraft,Squadron21,Morocco,,
usaf_f-5e,aircraft,Squadron22,RoC,,
usaf_f-5e,aircraft,Squadron23,RoC,,
usaf_f-5e,aircraft,Squadron24,RoC,,
usaf_f-5e,aircraft,Squadron25,RoC,,
usaf_f-5e,aircraft,Squadron26,RoC,,
usaf_f-5e,aircraft,Squadron27,RoC,,
usaf_f-5e,aircraft,Squadron28,RoC,,
usaf_f-5e,aircraft,Squadron29,RoC,,
usaf_f-5e,aircraft,Squadron30,RoC,,
usaf_f-5e,aircraft,Squadron31,RoC,,
usaf_f-5e,aircraft,Squadron32,RoC,,
usaf_f-5e,aircraft,Squadron33,RoC,,
usaf_f-5e,aircraft,Squadron34,RoC,,
usaf_f-5e,aircraft,Squadron35,Saudi,,
usaf_f-5e,aircraft,Squadron36,Saudi,,
usaf_f-5e,aircraft,Squadron37,Saudi,,
usaf_f-5e,aircraft,Squadron38,Saudi,,
usaf_f-5e,aircraft,Squadron39,South_Korea,,
usaf_f-5e,aircraft,Squadron40,South_Korea,,
usaf_f-5e,aircraft,Squadron41,South_Korea,,
usaf_f-5e,aircraft,Squadron42,South_Korea,,
usaf_f-5e,aircraft,Squadron43,South_Korea,,
usaf_f-5e,aircraft,Squadron44,South_Korea,,
usaf_f-5e,aircraft,Squadron45,South_Korea,,
usaf_f-5e,aircraft,Squadron46,South_Korea,,
usaf_f-5e,aircraft,Squadron47,Switzerland,,
usaf_f-5e,aircraft,Squadron48,Switzerland,,
usaf_f-5e,aircraft,Squadron49,Switzerland,,
usaf_f-5e,aircraft,Squadron50,Switzerland,,
usaf_f-5e,aircraft,Squadron51,Switzerland,,
usaf_f-5e,aircraft,Squadron52,Sudan,,
usaf_f-5e,aircraft,Squadron53,Thailand,,
usaf_f-5e,aircraft,Squadron54,Thailand,,
usaf_f-5e,aircraft,Squadron55,Thailand,,
usaf_f-5e,aircraft,Squadron56,Thailand,,
usaf_f-5e,aircraft,Squadron57,Tunisia,,
usaf_f-5e,aircraft,Squadron58,Vietnam,,
usaf_f-5e,aircraft,Squadron59,US,,
usaf_f-5e,aircraft,Squadron60,US,,
usaf_hh-3,aircraft,Default,US,1966|1992,
usaf_hh-3,aircraft,Squadron1,US,,
usaf_hh-3,aircraft,Squadron2,US,,
usaf_kc-135a,aircraft,Default,US,1958,
usaf_kc-135a,aircraft,Squadron1,US,,
usaf_kc-135a,aircraft,Squadron2,US,,
usaf_kc-135a,aircraft,Squadron3,US,,
usaf_kc-135a,aircraft,Squadron4,UK,,
usaf_kc-135a,aircraft,Squadron5,Germany,,
usaf_kc-135a,aircraft,Squadron6,Japan,,
usaf_kc-135a,aircraft,Squadron7,South_Korea,,
usaf_kc-135a,aircraft,Squadron8,Australia,,
usaf_vc-137c,aircraft,Default,US,1972|2001,
usaf_vc-137c,aircraft,Squadron1,US,,
usmc_ah-1t,aircraft,Default,US,1977|1995,
usmc_ah-1t,aircraft,Squadron1,US,,
usmc_ah-1t,aircraft,Squadron2,US,,
usmc_ah-1t,aircraft,Squadron3,US,,
usmc_ah-1t,aircraft,Squadron4,US,,
usmc_ah-1t,aircraft,Squadron5,US,,
usmc_ah-1t,aircraft,Squadron6,US,,
usmc_ah-1t,aircraft,Squadron7,US,,
usmc_ah-1t,aircraft,Squadron8,US,,
usmc_av-8a,aircraft,Default,US,1971|1987,
usmc_av-8a,aircraft,Squadron1,US,,
usmc_av-8a,aircraft,Squadron2,US,,
usmc_av-8a,aircraft,Squadron3,US,,
usmc_av-8a,aircraft,Squadron4,US,,
usmc_av-8a,aircraft,Squadron5,US,,
usn_a-3b,aircraft,Default,US,1956|1991,
usn_a-3b,aircraft,Squadron1,US,,
usn_a-3b,aircraft,Squadron2,US,,
usn_a-3b,aircraft,Squadron3,US,,
usn_a-3b,aircraft,Squadron4,US,,
usn_a-3b,aircraft,Squadron5,US,,
usn_a-6e,aircraft,Default,US,1979|1997,
usn_a-6e,aircraft,Squadron1,US,,
usn_a-6e,aircraft,Squadron2,US,,
usn_a-6e,aircraft,Squadron3,US,,
usn_a-6e,aircraft,Squadron4,US,,
usn_a-6e,aircraft,Squadron5,US,,
usn_a-6e,aircraft,Squadron6,US,,
usn_a-6e,aircraft,Squadron7,US,,
usn_a-6e,aircraft,Squadron8,US,,
usn_a-6e,aircraft,Squadron9,US,,
usn_a-6e,aircraft,Squadron10,US,,
usn_a-6e,aircraft,Squadron11,US,,
usn_a-7e,aircraft,Default,US,1969|1991,
usn_a-7e,aircraft,Squadron1,US,,
usn_a-7e,aircraft,Squadron2,US,,
usn_a-7e,aircraft,Squadron3,US,,
usn_a-7e,aircraft,Squadron4,US,,
usn_a-7e,aircraft,Squadron5,US,,
usn_a-7e,aircraft,Squadron6,US,,
usn_a-7e,aircraft,Squadron7,US,,
usn_a-7e,aircraft,Squadron8,US,,
usn_a-7e,aircraft,Squadron9,US,,
usn_a-7e,aircraft,Squadron10,US,,
usn_a-7e,aircraft,Squadron11,US,,
usn_a-7e,aircraft,Squadron12,US,,
usn_a-7e,aircraft,Squadron13,US,,
usn_a-7e,aircraft,Squadron14,US,,
usn_a-7e,aircraft,Squadron15,US,,
usn_a-7e,aircraft,Squadron16,US,,
usn_a-7e,aircraft,Squadron17,US,,
usn_a-7e,aircraft,Squadron18,US,,
usn_a-7e,aircraft,Squadron19,US,,
usn_a-7e,aircraft,Squadron20,US,,
usn_a-7e,aircraft,Squadron21,US,,
usn_a-7e,aircraft,Squadron22,US,,
usn_a-7e,aircraft,Squadron23,US,,
usn_ch-46,aircraft,Default,US,1964|2015,
usn_ch-46,aircraft,Squadron1,US,,
usn_ch-46,aircraft,Squadron2,US,,
usn_ch-46,aircraft,Squadron3,US,,
usn_ch-46,aircraft,Squadron4,US,,
usn_ch-46,aircraft,Squadron5,US,,
usn_ch-46,aircraft,Squadron6,US,,
usn_ch-46,aircraft,Squadron7,US,,
usn_ch-46,aircraft,Squadron8,US,,
usn_ch-46,aircraft,Squadron9,US,,
usn_ch-46,aircraft,Squadron10,US,,
usn_e-2c,aircraft,Default,US,1973|1990,
usn_e-2c,aircraft,Squadron1,US,,
usn_e-2c,aircraft,Squadron2,US,,
usn_e-2c,aircraft,Squadron3,US,,
usn_e-2c,aircraft,Squadron4,US,,
usn_e-2c,aircraft,Squadron5,US,,
usn_e-2c,aircraft,Squadron6,US,,
usn_e-2c,aircraft,Squadron7,US,,
usn_e-2c,aircraft,Squadron8,US,,
usn_e-2c,aircraft,Squadron9,US,,
usn_e-2c,aircraft,Squadron10,US,,
usn_ea-6b,aircraft,Default,US,1976|1990,
usn_ea-6b,aircraft,Squadron1,US,,
usn_ea-6b,aircraft,Squadron2,US,,
usn_ea-6b,aircraft,Squadron3,US,,
usn_ea-6b,aircraft,Squadron4,US,,
usn_ea-6b,aircraft,Squadron5,US,,
usn_ea-6b,aircraft,Squadron6,US,,
usn_ea-6b,aircraft,Squadron7,US,,
usn_ea-6b,aircraft,Squadron8,US,,
usn_ea-6b,aircraft,Squadron9,US,,
usn_ea-6b,aircraft,Squadron10,US,,
usn_eka-3b,aircraft,Default,US,1967|1976,
usn_eka-3b,aircraft,Squadron1,US,,
usn_eka-3b,aircraft,Squadron2,US,,
usn_f-14a,aircraft,Default,US,1975|1991,
usn_f-14a,aircraft,Squadron1,US,,
usn_f-14a,aircraft,Squadron2,US,,
usn_f-14a,aircraft,Squadron3,US,,
usn_f-14a,aircraft,Squadron4,US,,
usn_f-14a,aircraft,Squadron5,US,,
usn_f-14a,aircraft,Squadron6,US,,
usn_f-14a,aircraft,Squadron7,US,,
usn_f-14a,aircraft,Squadron8,US,,
usn_f-14a,aircraft,Squadron9,US,,
usn_f-14a,aircraft,Squadron10,US,,
usn_f-14a,aircraft,Squadron11,US,,
usn_f-14a,aircraft,Squadron12,US,,
usn_f-14a,aircraft,Squadron13,US,,
usn_f-14a,aircraft,Squadron14,US,,
usn_f-14a,aircraft,Squadron15,US,,
usn_f-14a,aircraft,Squadron16,US,,
usn_f-14a,aircraft,Squadron17,US,,
usn_f-14a,aircraft,Squadron18,US,,
usn_f-14a,aircraft,Squadron19,US,,
usn_f-14a,aircraft,Squadron20,US,,
usn_f-14a,aircraft,Squadron21,US,,
usn_f-4j,aircraft,Default,US,1966|1997,
usn_f-4j,aircraft,Squadron1,US,,
usn_f-4j,aircraft,Squadron2,US,,
usn_f-4j,aircraft,Squadron3,US,,
usn_f-4j,aircraft,Squadron4,US,,
usn_f-4j,aircraft,Squadron5,US,,
usn_f-4j,aircraft,Squadron6,US,,
usn_f-4j,aircraft,Squadron7,US,,
usn_f-4j,aircraft,Squadron8,US,,
usn_f-4j,aircraft,Squadron9,US,,
usn_f-4j,aircraft,Squadron10,US,,
usn_f-4j,aircraft,Squadron11,US,,
usn_f-4j,aircraft,Squadron12,US,,
usn_f-4j,aircraft,Squadron13,US,,
usn_f-4j,aircraft,Squadron14,US,,
usn_f-4j,aircraft,Squadron15,US,,
usn_f-4j,aircraft,Squadron16,US,,
usn_f-4j,aircraft,Squadron17,US,,
usn_f-4j,aircraft,Squadron18,US,,
usn_f-4j,aircraft,Squadron19,US,,
usn_f-4j,aircraft,Squadron20,US,,
usn_fa-18a,aircraft,Default,US,1984|1997,
usn_fa-18a,aircraft,Squadron1,US,,
usn_fa-18a,aircraft,Squadron2,US,,
usn_fa-18a,aircraft,Squadron3,US,,
usn_fa-18a,aircraft,Squadron4,US,,
usn_fa-18a,aircraft,Squadron5,US,,
usn_fa-18a,aircraft,Squadron6,US,,
usn_fa-18a,aircraft,Squadron7,Australia,,
usn_fa-18a,aircraft,Squadron8,Australia,,
usn_fa-18a,aircraft,Squadron9,Australia,,
usn_fa-18a,aircraft,Squadron10,Canada,,
usn_fa-18a,aircraft,Squadron13,Canada,,
usn_fa-18a,aircraft,Squadron14,Canada,,
usn_fa-18a,aircraft,Squadron15,Canada,,
usn_fa-18a,aircraft,Squadron16,Canada,,
usn_fa-18a,aircraft,Squadron17,Canada,,
usn_fa-18a,aircraft,Squadron18,Canada,,
usn_fa-18a,aircraft,Squadron19,Spain,,
usn_fa-18a,aircraft,Squadron20,Spain,,
usn_fa-18a,aircraft,Squadron21,Spain,,
usn_fa-18a,aircraft,Squadron22,Spain,,
usn_ka-3b,aircraft,Default,US,1956|1991,
usn_ka-3b,aircraft,Squadron1,US,,
usn_ka-3b,aircraft,Squadron2,US,,
usn_p-2h,aircraft,Default,US,1954|1982,
usn_p-2h,aircraft,Squadron1,US,,
usn_p-2h,aircraft,Squadron2,US,,
usn_p-2h,aircraft,Squadron3,US,,
usn_p-2h,aircraft,Squadron4,US,,
usn_p-2h,aircraft,Squadron5,Japan,,
usn_p-2h,aircraft,Squadron6,Japan,,
usn_p-2h,aircraft,Squadron7,France,,
usn_p-2h,aircraft,Squadron8,Canada,,
usn_p-2h,aircraft,Squadron9,Portugal,,
usn_p-2h,aircraft,Squadron10,Australia,,
